Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,0,0.016047301,4,249.8092,1999,1,0,1,3735.138
5.92,1,0.019278216,14,48.2692,2009,1,2,2,443.4228
17.5,0,0.016760075,10,141.618,1999,1,0,1,2097.27
19.2,1,0.0,6,182.095,1998,3,2,0,732.38
8.93,0,0.0,9,53.8614,1987,0,2,1,994.7052
10.395,1,0.0,0,51.4008,2009,1,2,2,556.6088
13.65,1,0.012741089,13,57.6588,1987,0,2,1,343.5528
12.6,0,0.127469857,13,107.7622,1985,1,2,3,4022.7636
16.2,1,0.016687114,5,96.9726,2002,3,1,1,1076.5986
19.2,1,0.09444959,5,187.8214,2007,3,1,1,4710.535
11.8,0,0.0,6,45.5402,1999,1,0,1,1516.0266
18.5,1,0.045463773,4,144.1102,1997,2,0,1,2187.153
15.1,1,0.1000135,6,145.4786,1999,1,0,1,1589.2646
17.6,1,0.047257328,13,119.6782,1997,2,0,1,2145.2076
16.35,0,0.0680243,6,196.4426,1987,0,2,1,1977.426
9.0,1,0.069088961,2,56.3614,1997,2,0,1,1547.3192
11.8,0,0.008596051,8,115.3492,2009,1,2,2,1621.8888
9.0,1,0.069196376,2,54.3614,1999,1,0,1,718.3982
12.6,0,0.034237682,7,113.2834,1985,1,2,3,2303.668
13.35,0,0.10249212,4,230.5352,2004,2,1,1,2748.4224
18.85,1,0.138190277,13,250.8724,1987,0,2,1,3775.086
12.6,1,0.035399923,0,144.5444,1985,1,2,3,4064.0432
14.6,0,0.025698134,9,196.5084,2004,2,1,1,1587.2672
12.6,0,0.057556998,0,107.6938,1985,2,0,0,214.3876
13.85,1,0.025896485,5,165.021,1997,2,0,1,4078.025
13.0,0,0.099887103,9,45.906,2007,3,1,1,838.908
7.645,1,0.066693437,13,42.3112,2004,2,1,1,1065.28
11.65,0,0.019356132,7,39.1164,1987,0,2,1,308.9312
5.925,1,0.161466534,4,45.5086,1998,3,2,0,178.4344
12.6,1,0.072221801,3,43.6454,1985,2,0,0,125.8362
19.25,0,0.170348551,4,55.7956,1998,3,2,0,163.7868
18.6,0,0.080829372,8,96.4436,2009,1,2,2,2741.7644
18.7,0,0.0,13,256.6672,2009,1,2,2,3068.0064
17.85,0,0.0,1,93.1436,2002,3,1,1,2174.5028
17.5,0,0.097904029,14,174.8738,1997,2,0,1,2085.2856
10.0,0,0.089291137,8,146.7102,1999,1,0,1,3791.0652
12.6,1,0.059511812,6,128.0678,1985,1,2,3,2797.6916
8.85,1,0.113123893,14,122.5388,2009,1,2,2,1609.9044
12.6,1,0.123111453,13,36.9874,1985,1,2,3,388.1614
12.6,0,0.026480954,13,87.6198,1985,1,2,3,2180.495
13.35,0,0.102511504,4,230.6352,1997,2,0,1,3435.528
9.8,0,0.02681843,10,126.002,1987,0,2,1,2150.534
13.6,0,0.117818348,13,192.9136,1999,1,0,1,2527.3768
21.35,0,0.069102831,3,259.9278,2009,1,2,2,6768.5228
12.15,1,0.042277867,3,126.5046,1987,0,2,1,373.5138
6.42,0,0.089498926,4,178.1002,1998,3,2,0,358.2004
19.6,0,0.0,8,153.3024,2002,3,1,1,2428.8384
10.0,0,0.025879577,3,265.2226,2002,3,1,1,5815.0972
15.85,1,0.121632721,0,60.622,1997,2,0,1,2576.646
12.6,1,0.255394896,4,196.8794,1985,2,0,0,780.3176
7.39,0,0.067779712,8,143.8812,1997,2,0,1,3134.5864
10.195,0,0.159803853,5,141.5154,1987,0,2,1,850.8924
9.895,1,0.028696932,3,117.0492,1987,0,2,1,810.9444
10.895,0,0.065041581,6,196.3794,2007,3,1,1,3121.2704
12.15,0,0.028760013,9,151.4708,2007,3,1,1,4815.0656
7.905,0,0.010053105,13,249.0408,2009,1,2,2,6258.52
9.195,0,0.048157338,9,106.1622,2002,3,1,1,2117.244
8.365,0,0.071958197,7,38.0506,1999,1,0,1,796.9626
15.1,0,0.173481304,13,194.511,1997,2,0,1,4910.275
12.6,0,0.061082177,3,180.0344,1985,2,0,0,892.172
10.0,0,0.0,6,246.9144,2009,1,2,2,3185.1872
7.97,1,0.040071131,10,87.3514,2002,3,1,1,1062.6168
12.6,0,0.012090074,6,38.2848,1985,1,2,3,484.7024
12.6,1,0.15028599,5,51.0692,1985,2,0,0,147.8076
12.6,0,0.026015519,13,255.8356,1985,1,2,3,2543.356
17.7,0,0.195068226,13,185.4266,1998,3,2,0,184.4266
19.35,0,0.033082215,10,172.5738,2004,2,1,1,4865.6664
13.65,1,0.078946455,4,186.024,2002,3,1,1,1118.544
17.6,0,0.041700756,14,164.8526,2002,3,1,1,2302.3364
8.645,0,0.143422643,8,95.841,1997,2,0,1,2027.361
15.6,1,0.105296072,13,170.1764,1997,2,0,1,3435.528
15.85,1,0.121531501,0,59.222,1987,0,2,1,599.22
18.25,0,0.0,15,164.7526,2002,3,1,1,4604.6728
7.855,0,0.011324862,3,189.6188,2007,3,1,1,2285.0256
7.825,0,0.186357148,9,254.3698,1999,1,0,1,5580.7356
8.39,1,0.024205661,5,114.0176,1997,2,0,1,2290.352
12.85,0,0.033230816,13,172.3422,1999,1,0,1,1207.0954
12.6,0,0.113720344,0,89.9804,1985,2,0,0,643.1628
19.0,0,0.112556507,5,104.9622,2007,3,1,1,1587.933
5.905,0,0.0,3,222.5456,2002,3,1,1,5305.0944
7.76,0,0.059352241,13,101.87,1997,2,0,1,1697.79
11.8,1,0.014087057,5,180.3344,1997,2,0,1,1427.4752
16.75,0,0.045230944,13,187.9556,2009,1,2,2,4693.89
12.6,0,0.293417759,9,194.6136,1985,2,0,0,583.2408
12.6,1,0.031382044,0,171.3764,1985,1,2,3,3091.9752
15.5,1,0.12639886,6,177.0028,2007,3,1,1,2479.4392
6.055,0,0.025403898,6,160.992,2004,2,1,1,2716.464
12.6,1,0.039057677,2,155.963,1985,1,2,3,3285.723
